,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5
0.1175,2.65566036,-2.06132074,-2.06132074,2.65566036,-2.06132074,-0.01886792,4.69811318,-0.01886792,-0.01886792,-0.01886792
0.1185,-2.06132074,-2.06132074,2.65566036,-2.06132074,-2.06132074,4.69811318,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1195,7.37264156,2.65566036,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1205,-2.06132074,-2.06132074,2.65566036,-2.06132074,-2.06132074,-0.01886792,-0.01886792,4.69811318,-0.01886792,-0.01886792
0.1215,7.37264156,-2.06132074,2.65566036,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1225,2.65566036,7.37264156,2.65566036,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1235,2.65566036,-2.06132074,2.65566036,2.65566036,-2.06132074,-0.01886792,-0.01886792,4.69811318,-0.01886792,-0.01886792
0.1245,2.65566036,2.65566036,2.65566036,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1255,2.65566036,7.37264156,2.65566036,-2.06132074,7.37264156,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1265,2.65566036,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1275,2.65566036,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1285,2.65566036,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1295,7.37264156,2.65566036,2.65566036,2.65566036,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1305,2.65566036,-2.06132074,7.37264156,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1315,2.65566036,2.65566036,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1325,7.37264156,-2.06132074,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1335,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1345,-2.06132074,-2.06132074,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1355,2.65566036,-2.06132074,7.37264156,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1365,2.65566036,-2.06132074,2.65566036,7.37264156,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1375,7.37264156,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1385,7.37264156,2.65566036,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1395,12.08962266,-2.06132074,-2.06132074,2.65566036,7.37264156,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1405,12.08962266,2.65566036,7.37264156,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1415,-2.06132074,-2.06132074,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1425,7.37264156,-2.06132074,7.37264156,2.65566036,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1435,-2.06132074,-2.06132074,2.65566036,2.65566036,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1445,7.37264156,2.65566036,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1455,-2.06132074,-2.06132074,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1465,2.65566036,-2.06132074,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1475,-2.06132074,-2.06132074,-2.06132074,2.65566036,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1485,2.65566036,-2.06132074,-2.06132074,7.37264156,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1495,2.65566036,16.80660376,-2.06132074,2.65566036,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
